Date:,15/12/2017,
coordinates:,"45.070312, 7.6868565",
location:,"Piazza Castello, 15, 10124 Torino, Italy",
hour,Elevation,Azimuth
08:00:55,-833,123.03
8:15:00,1.22,125.52
8:30:00,3.33,128.24
8:45:00,5.37,131.02
9:00:00,7.33,133.88
9:15:00,9.19,136.81
9:30:00,10.95,139.81
9:45:00,12.6,142.9
10:00:00,14.14,146.06
10:15:00,15.55,149.31
10:30:00,16.84,152.64
10:45:00,17.98,156.04
11:00:00,18.98,159.52
11:15:00,19.83,163.05
11:30:00,20.52,166.65
11:45:00,21.05,170.29
12:00:00,21.42,173.96
12:15:00,21.61,177.66
12:30:00,21.63,181.36
12:45:00,21.48,185.06
13:00:00,21.16,188.74
13:15:00,20.68,192.39
13:30:00,20.03,196
13:45:00,19.22,199.55
14:00:00,18.26,203.04
14:15:00,17.15,206.46
14:30:00,15.9,209.81
14:45:00,14.52,213.08
15:00:00,13.01,216.27
15:15:00,11.39,219.37
15:30:00,9.65,222.4
15:45:00,7.82,225.35
16:00:00,5.89,228.22
16:15:00,3.87,231.02
16:30:00,1.77,233.75
16:47:58,-833,236.95
