Date:,15/10/2017,
coordinates:,"45.070312, 7.6868565",
location:,"Piazza Castello, 15, 10124 Torino, Italy",
hour,Elevation,Azimuth
06:45:05,-833,101.36
7:00:00,1.73,104.01
7:15:00,4.28,106.71
7:30:00,6.8,109.44
7:45:00,9.27,112.24
8:00:00,11.69,115.09
8:15:00,14.06,118.02
8:30:00,16.36,121.03
8:45:00,18.59,124.14
9:00:00,20.73,127.35
9:15:00,22.79,130.67
9:30:00,24.74,134.12
9:45:00,26.58,137.69
10:00:00,28.3,141.4
10:15:00,29.88,145.23
10:30:00,31.31,149.21
10:45:00,32.58,153.31
11:00:00,33.68,157.54
11:15:00,34.59,161.89
11:30:00,35.31,166.32
11:45:00,35.83,170.84
12:00:00,36.15,175.4
12:15:00,36.25,180
12:30:00,36.14,184.59
12:45:00,35.82,189.15
13:00:00,35.29,193.66
13:15:00,34.56,198.1
13:30:00,33.64,202.44
13:45:00,32.54,206.66
14:00:00,31.26,210.76
14:15:00,29.82,214.73
14:30:00,28.24,218.56
14:45:00,26.52,222.26
15:00:00,24.67,225.83
15:15:00,22.72,229.26
15:30:00,20.66,232.58
15:45:00,18.51,235.79
16:00:00,16.27,238.89
16:15:00,13.97,241.9
16:30:00,11.6,244.82
16:45:00,9.17,247.67
17:00:00,6.69,250.45
17:15:00,4.17,253.18
17:30:00,1.62,255.87
17:44:14,-833,258.39
