Date:,15/04/2017,
coordinates:,"45.070312, 7.6868565",
location:,"Piazza Castello, 15, 10124 Torino, Italy",
hour,Elevation,Azimuth
05:44:26,-833,75.14
6:00:00,1.84,77.89
6:15:00,4.44,80.52
6:30:00,7.07,83.13
6:45:00,9.71,85.75
7:00:00,12.36,88.37
7:15:00,15.01,91.02
7:30:00,17.66,93.71
7:45:00,20.3,96.44
8:00:00,22.92,99.24
8:15:00,25.53,102.11
8:30:00,28.1,105.08
8:45:00,30.65,108.16
9:00:00,33.14,111.37
9:15:00,35.58,114.73
9:30:00,37.95,118.27
9:45:00,40.25,122
10:00:00,42.45,125.96
10:15:00,44.54,130.16
10:30:00,46.5,134.63
10:45:00,48.31,139.39
11:00:00,49.94,144.45
11:15:00,51.38,149.82
11:30:00,52.61,155.49
11:45:00,53.58,161.42
12:00:00,54.29,167.58
12:15:00,54.72,173.91
12:30:00,54.86,180.31
12:45:00,54.7,186.72
13:00:00,54.25,193.03
13:15:00,53.52,199.17
13:30:00,52.53,205.09
13:45:00,51.29,210.74
14:00:00,49.83,216.08
14:15:00,48.18,221.12
14:30:00,46.36,225.86
14:45:00,44.39,230.31
15:00:00,42.3,234.5
15:15:00,40.09,238.44
15:30:00,37.8,242.16
15:45:00,35.42,245.68
16:00:00,32.98,249.03
16:15:00,30.48,252.24
16:30:00,27.94,255.31
16:45:00,25.37,258.27
17:00:00,22.76,261.14
17:15:00,20.14,263.93
17:30:00,17.5,266.67
17:45:00,14.86,269.35
18:00:00,12.21,272
18:15:00,9.57,274.63
18:30:00,6.94,277.25
18:45:00,4.32,279.87
19:00:00,1.73,282.5
19:14:56,-833,285.14
