Date:,15/07/2017,
coordinates:,"45.070312, 7.6868565",
location:,"Piazza Castello, 15, 10124 Torino, Italy",
hour,Elevation,Azimuth
04:56:40,-833,57.75
5:15:00,1.95,60.98
5:30:00,4.29,63.57
5:45:00,6.69,66.12
6:00:00,9.13,68.64
6:15:00,11.61,71.13
6:30:00,14.14,73.6
6:45:00,16.69,76.06
7:00:00,19.27,78.53
7:15:00,21.88,81.01
7:30:00,24.5,83.52
7:45:00,27.14,86.06
8:00:00,29.78,88.65
8:15:00,32.43,91.3
8:30:00,35.07,94.04
8:45:00,37.71,96.88
9:00:00,40.32,99.85
9:15:00,42.92,102.97
9:30:00,45.48,106.28
9:45:00,48,109.81
10:00:00,50.46,113.6
10:15:00,52.84,117.71
10:30:00,55.14,122.19
10:45:00,57.31,127.09
11:00:00,59.35,132.5
11:15:00,61.2,138.46
11:30:00,62.84,145.04
11:45:00,64.22,152.24
12:00:00,65.29,160.03
12:15:00,66.01,168.32
12:30:00,66.35,176.93
12:45:00,66.29,185.63
13:00:00,65.83,194.16
13:15:00,65,202.31
13:30:00,63.83,209.94
13:45:00,62.37,216.95
14:00:00,60.66,223.33
14:15:00,58.75,229.12
14:30:00,56.67,234.37
14:45:00,54.45,239.14
15:00:00,52.12,243.5
15:15:00,49.71,247.51
15:30:00,47.23,251.21
15:45:00,44.7,254.67
16:00:00,42.13,257.92
16:15:00,39.52,260.99
16:30:00,36.9,263.92
16:45:00,34.26,266.73
17:00:00,31.61,269.44
17:15:00,28.96,272.07
17:30:00,26.32,274.64
17:45:00,23.68,277.17
18:00:00,21.06,279.66
18:15:00,18.46,282.14
18:30:00,15.88,284.6
18:45:00,13.33,287.07
19:00:00,10.82,289.54
19:15:00,8.34,292.04
19:30:00,5.91,294.56
19:45:00,3.52,297.12
20:00:00,1.19,299.72
20:13:22,-833,302.08
