Date:,15/09/2017,
coordinates:,"45.070312, 7.6868565",
location:,"Piazza Castello, 15, 10124 Torino, Italy",
hour,Elevation,Azimuth
06:07:55,-833,84.98
6:15:00,0.41,86.24
6:30:00,3.05,88.89
6:45:00,5.7,91.55
7:00:00,8.34,94.23
7:15:00,10.98,96.93
7:30:00,13.59,99.67
7:45:00,16.19,102.47
8:00:00,18.76,105.32
8:15:00,21.29,108.26
8:30:00,23.78,111.29
8:45:00,26.22,114.43
9:00:00,28.6,117.7
9:15:00,30.9,121.1
9:30:00,33.12,124.66
9:45:00,35.25,128.38
10:00:00,37.26,132.3
10:15:00,39.15,136.42
10:30:00,40.9,140.75
10:45:00,42.49,145.29
11:00:00,43.91,150.05
11:15:00,45.12,155.02
11:30:00,46.13,160.18
11:45:00,46.91,165.51
12:00:00,47.44,170.96
12:15:00,47.73,176.5
12:30:00,47.76,182.07
12:45:00,47.53,187.63
13:00:00,47.05,193.1
13:15:00,46.33,198.46
13:30:00,45.37,203.67
13:45:00,44.2,208.68
14:00:00,42.82,213.49
14:15:00,41.27,218.08
14:30:00,39.56,222.45
14:45:00,37.69,226.62
15:00:00,35.7,230.58
15:15:00,33.6,234.35
15:30:00,31.4,237.94
15:45:00,29.11,241.37
16:00:00,26.74,244.66
16:15:00,24.32,247.83
16:30:00,21.83,250.88
16:45:00,19.31,253.83
17:00:00,16.74,256.7
17:15:00,14.15,259.51
17:30:00,11.53,262.26
17:45:00,8.89,264.96
18:00:00,6.25,267.64
18:15:00,3.6,270.3
18:30:00,0.95,272.95
18:40:05,-833,274.73
