Date:,15/05/2017,
coordinates:,"45.070312, 7.6868565",
location:,"Piazza Castello, 15, 10124 Torino, Italy",
hour,Elevation,Azimuth
04:59:58,-833,61.74
5:15:00,1.53,64.4
5:30:00,3.95,67
5:45:00,6.41,69.56
6:00:00,8.91,72.1
6:15:00,11.45,74.62
6:30:00,14.02,77.13
6:45:00,16.62,79.63
7:00:00,19.23,82.15
7:15:00,21.86,84.69
7:30:00,24.51,87.26
7:45:00,27.16,89.89
8:00:00,29.81,92.57
8:15:00,32.45,95.33
8:30:00,35.08,98.19
8:45:00,37.69,101.18
9:00:00,40.28,104.3
9:15:00,42.83,107.6
9:30:00,45.33,111.1
9:45:00,47.77,114.85
10:00:00,50.13,118.87
10:15:00,52.4,123.23
10:30:00,54.56,127.96
10:45:00,56.57,133.13
11:00:00,58.42,138.77
11:15:00,60.06,144.92
11:30:00,61.45,151.6
11:45:00,62.57,158.78
12:00:00,63.36,166.38
12:15:00,63.81,174.3
12:30:00,63.89,182.35
12:45:00,63.6,190.34
13:00:00,62.95,198.1
13:15:00,61.97,205.47
13:30:00,60.69,212.37
13:45:00,59.15,218.75
14:00:00,57.39,224.61
14:15:00,55.45,229.97
14:30:00,53.35,234.88
14:45:00,51.13,239.4
15:00:00,48.8,243.56
15:15:00,46.39,247.42
15:30:00,43.92,251.02
15:45:00,41.39,254.41
16:00:00,38.82,257.6
16:15:00,36.22,260.64
16:30:00,33.6,263.56
16:45:00,30.97,266.36
17:00:00,28.32,269.08
17:15:00,25.68,271.73
17:30:00,23.03,274.32
17:45:00,20.4,276.87
18:00:00,17.78,279.4
18:15:00,15.18,281.91
18:30:00,12.6,284.42
18:45:00,10.05,286.94
19:00:00,7.54,289.47
19:15:00,5.07,292.02
19:30:00,2.63,294.61
19:45:00,0.25,297.23
19:51:59,-833,298.47
