Date:,15/11/2017,
coordinates:,"45.070312, 7.6868565",
location:,"Piazza Castello, 15, 10124 Torino, Italy",
hour,Elevation,Azimuth
07:27:11,-833,115.83
7:45:00,1.95,119
8:00:00,4.24,121.73
8:15:00,6.45,124.52
8:30:00,8.59,127.39
8:45:00,10.65,130.32
9:00:00,12.62,133.34
9:15:00,14.5,136.45
9:30:00,16.27,139.65
9:45:00,17.92,142.94
10:00:00,19.45,146.33
10:15:00,20.85,149.81
10:30:00,22.11,153.38
10:45:00,23.21,157.04
11:00:00,24.16,160.78
11:15:00,24.95,164.59
11:30:00,25.56,168.46
11:45:00,26,172.38
12:00:00,26.26,176.33
12:15:00,26.34,180.29
12:30:00,26.23,184.25
12:45:00,25.94,188.2
13:00:00,25.47,192.11
13:15:00,24.82,195.97
13:30:00,24.01,199.77
13:45:00,23.03,203.49
14:00:00,21.9,207.13
14:15:00,20.61,210.69
14:30:00,19.19,214.15
14:45:00,17.64,217.52
15:00:00,15.96,220.8
15:15:00,14.18,223.98
15:30:00,12.28,227.07
15:45:00,10.3,230.07
16:00:00,8.22,232.99
16:15:00,6.06,235.84
16:30:00,3.84,238.62
16:45:00,1.54,241.33
17:00:08,-833,244.02
